Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000  8 21   19.213   24.317   14.109    1.498    0.880    0.466     0.000     7.232
2000  8 22   21.782   29.727   13.836    1.552    0.938    0.252     0.000     9.349
2000  8 23   21.216   29.794   12.639    1.332    0.829    0.228     0.000     5.998
2000  8 24   21.866   30.980   12.752    1.421    0.873    0.211     0.000     9.173
2000  8 25   21.875   28.945   14.804    1.533    0.859    0.310     0.000     8.840
2000  8 26   21.297   28.992   13.603    1.663    0.973    0.340     0.000     9.761
2000  8 27   21.432   28.971   13.893    1.683    0.986    0.332     0.000     6.840
2000  8 28   22.424   30.395   14.453    1.696    0.975    0.275     0.000     8.369
2000  8 29   21.962   28.776   15.149    1.801    0.968    0.397     0.000    11.662
2000  8 30   21.570   28.924   14.216    1.641    0.934    0.340     0.000     6.919
2000  8 31   16.712   21.266   12.159    1.443    0.959    0.558     0.000     8.604
2000  9  1   19.591   26.348   12.834    1.608    1.008    0.402     0.000    11.780
2000  9  2   19.922   27.294   12.550    1.427    0.998    0.228     0.000     9.055
2000  9  3   18.995   28.415    9.575    1.087    0.815    0.175     0.000     8.310
2000  9  4   21.096   30.607   11.586    1.228    0.752    0.229     0.000     6.527
2000  9  5   22.962   32.206   13.718    1.695    0.929    0.280     0.000     8.918
2000  9  6   21.994   31.184   12.803    1.553    0.979    0.195     0.000    10.976
2000  9  7   17.019   24.031   10.007    1.062    0.773    0.322     0.000     8.408
2000  9  8   20.163   28.095   12.232    1.285    0.808    0.280     0.000    15.484
2000  9  9   19.874   29.113   10.635    1.128    0.812    0.160     0.000     7.938
2000  9 10   20.274   30.192   10.356    1.012    0.735    0.117     0.000     7.762
2000  9 11   18.834   24.692   12.976    0.897    0.654    0.172     0.000     6.409
2000  9 12   18.210   28.038    8.383    1.131    0.878    0.204     0.000     6.644
2000  9 13   20.715   31.542    9.888    1.186    0.834    0.137     0.000     8.663
2000  9 14   19.175   27.637   10.714    1.081    0.716    0.258     0.000     6.292
2000  9 15   20.562   31.379    9.746    1.211    0.804    0.197     0.000     5.312
2000  9 16   22.492   34.458   10.526    1.197    0.798    0.081     0.000     7.389
2000  9 17   22.889   33.624   12.153    1.190    0.750    0.103     0.000    17.424
2000  9 18   22.623   30.004   15.242    1.060    0.602    0.170     0.000     6.213
2000  9 19   15.187   22.527    7.846    1.108    0.996    0.288     0.000     8.761
2000  9 20   10.064   13.806    6.323    0.894    0.973    0.477     0.000     9.937
2000  9 21   12.074   20.019    4.130    1.061    0.977    0.529     0.000     7.468
2000  9 22    3.852    7.915   -0.211    0.734    1.014    0.809     0.000     6.468
2000  9 23    1.566    3.486   -0.355    0.683    1.024    0.972     0.000     7.291
2000  9 24    2.205    6.034   -1.623    0.601    1.030    0.650     0.000     5.860
2000  9 25    7.184   17.382   -3.014    0.669    1.027    0.293     0.000     3.881
2000  9 26   10.214   20.338    0.090    0.786    0.996    0.267     0.000     5.174
2000  9 27   12.994   22.972    3.015    0.816    0.886    0.206     0.000     5.214
2000  9 28   14.862   25.352    4.371    0.939    0.931    0.180     0.000     7.350
2000  9 29   17.667   25.947    9.387    1.133    0.844    0.277     0.000     6.017
2000  9 30   17.369   25.594    9.145    1.088    0.897    0.200     0.000     7.566
2000 10  1   20.846   29.690   12.001    0.984    0.672    0.127     0.000    10.133
2000 10  2   14.958   22.617    7.298    1.127    0.931    0.394     0.000     5.508
2000 10  3   14.298   19.689    8.907    1.152    0.957    0.457     0.000     6.997
2000 10  4   11.688   16.637    6.739    1.131    1.009    0.637     0.000     7.507
2000 10  5    5.533   10.957    0.109    0.815    1.006    0.794     0.000     8.114
2000 10  6    0.858    2.594   -0.877    0.580    1.011    0.773     0.000     4.782
2000 10  7    3.403    5.644    1.162    0.636    0.977    0.655     0.000     5.018
2000 10  8    5.329   11.329   -0.671    0.644    0.986    0.458     0.000     5.821
2000 10  9    6.592   15.556   -2.372    0.694    1.017    0.410     0.000     5.586
2000 10 10   10.122   20.290   -0.047    0.813    1.011    0.302     0.000     5.312
2000 10 11   12.273   21.754    2.792    0.919    0.970    0.318     0.000     6.468
2000 10 12   13.372   20.732    6.012    0.956    0.940    0.307     0.000     5.802
2000 10 13   10.270   16.949    3.590    0.742    0.992    0.196     0.000     5.018
2000 10 14    7.152   12.982    1.322    0.647    0.898    0.380     0.000     7.762
2000 10 15    7.925   16.418   -0.568    0.672    0.976    0.284     0.000     4.782
2000 10 16    9.003   18.014   -0.009    0.706    0.965    0.265     0.000     8.095
2000 10 17   10.582   20.251    0.912    0.679    0.874    0.191     0.000     4.822
2000 10 18   12.244   22.702    1.786    0.827    0.943    0.219     0.000     4.410
2000 10 19   12.723   22.845    2.601    0.749    0.873    0.146     0.000    11.368
2000 10 20    9.961   16.830    3.092    0.767    0.894    0.359     0.000     6.056
2000 10 21   11.344   21.865    0.824    0.781    0.951    0.213     0.000     5.860
2000 10 22    7.988   10.499    5.477    0.910    1.010    0.689     0.000     9.643
2000 10 23    6.846    9.107    4.586    0.902    1.007    0.813     0.000     4.528
2000 10 24   10.563   15.854    5.272    1.017    1.002    0.593     0.000     6.292
2000 10 25    9.123   17.075    1.170    0.763    1.009    0.310     0.000     6.586
2000 10 26    8.236   16.702   -0.230    0.691    0.977    0.292     0.000     5.410
2000 10 27    8.553   14.324    2.781    0.819    0.911    0.561     0.000     6.527
